model,accuracy,time
Ada_Boost_Classifier,81.49,503
Ada_Boost_Classifier,74.27,504
Ada_Boost_Classifier,81.49,505
Ada_Boost_Classifier,84.48,506
Ada_Boost_Classifier,94.32,507
Ada_Boost_Classifier,93.0,508
Ada_Boost_Classifier,81.49,509
Ada_Boost_Classifier,81.49,510
Ada_Boost_Classifier,81.49,511
Ada_Boost_Classifier,93.0,512
Ada_Boost_Classifier,78.11,513
Ada_Boost_Classifier,84.48,514
Ada_Boost_Classifier,81.49,515
Ada_Boost_Classifier,93.0,516
Ada_Boost_Classifier,78.11,517
Ada_Boost_Classifier,81.49,518
Ada_Boost_Classifier,93.0,519
Ada_Boost_Classifier,78.11,520
Ada_Boost_Classifier,84.48,521
Ada_Boost_Classifier,84.48,522
Ada_Boost_Classifier,78.11,523
Ada_Boost_Classifier,91.49,524
Ada_Boost_Classifier,94.25,525
Ada_Boost_Classifier,74.27,526
Ada_Boost_Classifier,74.27,527
Ada_Boost_Classifier,81.49,528
Ada_Boost_Classifier,84.48,529
Ada_Boost_Classifier,84.48,530
Ada_Boost_Classifier,95.3,531
Ada_Boost_Classifier,84.48,532
Ada_Boost_Classifier,94.25,533
Ada_Boost_Classifier,74.27,534
Ada_Boost_Classifier,93.0,535
Ada_Boost_Classifier,81.49,536
Ada_Boost_Classifier,81.49,537
Ada_Boost_Classifier,84.48,538
Ada_Boost_Classifier,84.48,539
Ada_Boost_Classifier,84.48,540
Ada_Boost_Classifier,78.11,541
Ada_Boost_Classifier,94.25,542
Ada_Boost_Classifier,94.25,543
Ada_Boost_Classifier,81.49,544
Ada_Boost_Classifier,95.3,545
Ada_Boost_Classifier,78.11,546
Ada_Boost_Classifier,74.27,547
Ada_Boost_Classifier,84.48,548
Ada_Boost_Classifier,91.49,549
Ada_Boost_Classifier,78.11,550
Ada_Boost_Classifier,81.49,551
Ada_Boost_Classifier,91.49,552
Ada_Boost_Classifier,91.49,553
Ada_Boost_Classifier,84.48,554
Ada_Boost_Classifier,84.48,555
Ada_Boost_Classifier,84.48,556
Ada_Boost_Classifier,95.3,557
Ada_Boost_Classifier,84.48,558
Ada_Boost_Classifier,74.27,559
Ada_Boost_Classifier,84.48,560
Ada_Boost_Classifier,81.49,561
Ada_Boost_Classifier,74.27,562
Ada_Boost_Classifier,81.49,563
Ada_Boost_Classifier,81.49,564
Ada_Boost_Classifier,81.49,565
Ada_Boost_Classifier,93.0,566
Ada_Boost_Classifier,74.27,567
Ada_Boost_Classifier,78.11,568
Ada_Boost_Classifier,81.49,569
Ada_Boost_Classifier,81.49,570
Ada_Boost_Classifier,84.48,571
Ada_Boost_Classifier,93.0,572
Ada_Boost_Classifier,95.3,573
Ada_Boost_Classifier,84.48,574
Ada_Boost_Classifier,84.48,575
Ada_Boost_Classifier,78.11,576
Ada_Boost_Classifier,84.48,577
Ada_Boost_Classifier,91.49,578
Ada_Boost_Classifier,81.49,579
Ada_Boost_Classifier,84.48,580
Ada_Boost_Classifier,81.49,581
Ada_Boost_Classifier,93.0,582
Ada_Boost_Classifier,78.11,583
Ada_Boost_Classifier,93.0,584
Ada_Boost_Classifier,93.0,585
Ada_Boost_Classifier,84.48,586
Ada_Boost_Classifier,93.0,587
Ada_Boost_Classifier,74.27,588
Ada_Boost_Classifier,81.49,589
Ada_Boost_Classifier,84.48,590
Ada_Boost_Classifier,93.0,591
Ada_Boost_Classifier,95.3,592
Ada_Boost_Classifier,93.0,593
Ada_Boost_Classifier,95.3,594
Ada_Boost_Classifier,84.48,595
Ada_Boost_Classifier,81.49,596
Ada_Boost_Classifier,94.25,597
Ada_Boost_Classifier,74.27,598
Ada_Boost_Classifier,81.49,599
Ada_Boost_Classifier,74.27,600
Ada_Boost_Classifier,93.0,601
Ada_Boost_Classifier,78.11,602
Ada_Boost_Classifier,95.3,603
Ada_Boost_Classifier,74.27,604
Ada_Boost_Classifier,84.48,605
Ada_Boost_Classifier,91.49,606
Ada_Boost_Classifier,78.11,607
Ada_Boost_Classifier,77.9,608
Ada_Boost_Classifier,84.48,609
Ada_Boost_Classifier,78.11,610
Ada_Boost_Classifier,93.0,611
Ada_Boost_Classifier,91.49,612
Ada_Boost_Classifier,91.48,613
Ada_Boost_Classifier,93.0,614
Ada_Boost_Classifier,93.0,615
Ada_Boost_Classifier,95.3,616
Ada_Boost_Classifier,84.48,617
Ada_Boost_Classifier,84.48,618
Ada_Boost_Classifier,81.49,619
Ada_Boost_Classifier,74.27,620
Ada_Boost_Classifier,81.49,621
Ada_Boost_Classifier,81.49,622
Ada_Boost_Classifier,77.9,623
Ada_Boost_Classifier,74.27,624
Ada_Boost_Classifier,81.5,625
Ada_Boost_Classifier,81.49,626
Ada_Boost_Classifier,84.48,627
Ada_Boost_Classifier,81.49,628
Ada_Boost_Classifier,74.27,629
Ada_Boost_Classifier,84.48,630
Ada_Boost_Classifier,84.48,631
Ada_Boost_Classifier,84.48,632
